,tweet_id,favorites,retweets
862,697255105972801536,3274,1301
863,697259378236399616,3575,1119
864,697270446429966336,5061,2070
865,697463031882764288,3701,1540
866,697482927769255936,2624,758
867,697575480820686848,2222,566
868,697596423848730625,3274,1410
869,697616773278015490,3425,1130
870,697881462549430272,3272,1320
871,697943111201378304,2604,769
872,697990423684476929,3564,1438
873,697995514407682048,1644,367
874,698178924120031232,3054,818
875,698195409219559425,18207,6658
876,698262614669991936,5146,2248
877,698342080612007937,2459,1061
878,698355670425473025,2015,506
879,698549713696649216,2505,696
880,698635131305795584,1382,379
881,698703483621523456,1579,422
882,698710712454139905,2679,767
883,698907974262222848,2753,692
884,698953797952008193,2929,1005
885,698989035503689728,3675,1096
886,699036661657767936,2827,1330
887,699072405256409088,3250,1308
888,699079609774645248,2641,732
889,699088579889332224,2419,706
890,699323444782047232,3422,972
891,699370870310113280,2037,493
892,699413908797464576,2233,685
893,699423671849451520,1487,376
894,699434518667751424,2363,571
895,699446877801091073,6435,2911
896,699691744225525762,11135,5123
897,699775878809702401,2120,678
898,699779630832685056,3001,1383
899,699788877217865730,2441,549
900,699801817392291840,3307,1081
901,700002074055016451,3592,1511
902,700029284593901568,2242,650
903,700062718104104960,2856,773
904,700143752053182464,8177,3082
905,700151421916807169,2426,741
906,700167517596164096,2868,828
907,700462010979500032,4495,2012
908,700505138482569216,2463,640
909,700518061187723268,2855,900
910,700747788515020802,24856,10494
911,700796979434098688,2647,1073
912,700847567345688576,2625,555
913,700864154249383937,2803,681
914,700890391244103680,2408,645
915,701214700881756160,13313,5734
916,701545186879471618,2874,673
917,701570477911896070,3048,1045
918,701601587219795968,2261,517
919,701889187134500865,3864,1541
920,701952816642965504,4119,1133
921,701981390485725185,3712,1096
922,702217446468493312,5211,1496
923,702276748847800320,2679,849
924,702321140488925184,3568,1146
925,702539513671897089,3101,1077
926,702598099714314240,11214,3663
927,702671118226825216,2372,627
928,702684942141153280,3488,1202
929,702932127499816960,2797,809
930,703041949650034688,28673,13980
931,703079050210877440,7984,3442
932,703268521220972544,2129,615
933,703356393781329922,2059,427
